state_fips,state_abbreviation,year,actual_compliance,predicted_compliance
38,ND,2017,1.1889035667107,
38,ND,2018,1.7105263157894732,
38,ND,2019,1.9633507853403136,0.7609182333664848
38,ND,2020,3.974358974358974,0.7075373714060406
38,ND,2021,1.670951156812339,2.1350689170482013
38,ND,2022,0.8974358974358974,2.4310872064184856
38,ND,2023,1.2706480304955523,1.4928428229748043
38,ND,2024,2.395964691046657,1.255825626623778
39,OH,2010,4.827108068290138,
39,OH,2011,5.15329984410184,
39,OH,2012,4.406544887888487,
39,OH,2013,4.412780656303966,
39,OH,2014,3.9458947187042153,
39,OH,2015,4.069867492686283,
39,OH,2016,1.6752577319587592,
39,OH,2017,1.722955597462704,
39,OH,2018,1.5580857803270225,
39,OH,2019,1.1968880909634914,1.5967730409119127
39,OH,2020,1.0848376981100043,1.4673092573339093
39,OH,2021,0.994813366210352,1.4964392857575528
39,OH,2022,1.104972375690603,1.2337253430439885
39,OH,2023,0.9315718157181517,1.3246806330063645
39,OH,2024,2.453418767388901,1.3212793093986106
40,OK,2010,19.760638297872333,
40,OK,2011,19.55661124307204,
40,OK,2012,19.402985074626848,
40,OK,2013,20.186818889465485,
40,OK,2014,24.516627996906404,
40,OK,2015,32.11454870877012,
40,OK,2016,31.109979633401203,
40,OK,2017,25.216065073716308,
40,OK,2018,24.676642150646714,
40,OK,2019,30.29537995455692,19.920708134592857
40,OK,2020,30.693568726355604,25.243858390266862
40,OK,2021,26.120711244678176,27.418948502322166
40,OK,2022,28.347826086956516,25.80097068637013
40,OK,2023,23.800147674132408,24.92379893624329
40,OK,2024,33.38213762811125,19.227230599607243
41,OR,2010,12.063574778530475,
41,OR,2011,8.675445391169628,
41,OR,2012,8.282051282051272,
41,OR,2013,7.415902140672783,
41,OR,2014,8.877679697351814,
41,OR,2015,9.305797462055232,
41,OR,2016,4.593207915954061,
41,OR,2017,4.364600916325045,
41,OR,2018,5.9751434034416775,
41,OR,2019,5.241935483870958,4.3126787694011295
41,OR,2020,3.440150801131008,4.487033582733224
41,OR,2021,4.018801410105755,3.751859936713452
41,OR,2022,4.639660857277434,3.9262059337297064
41,OR,2023,4.117647058823522,4.489412157164519
41,OR,2024,7.127784290738565,4.366791216086045
42,PA,2010,6.057745260010991,
42,PA,2011,8.229387306817255,
42,PA,2012,6.7742188111833075,
42,PA,2013,7.097026604068804,
42,PA,2014,5.651969981238253,
42,PA,2015,5.684128225175882,
42,PA,2016,8.844228964654343,
42,PA,2017,7.073075420085944,
42,PA,2018,8.345694433601345,
42,PA,2019,7.266192671302418,7.790745574491048
42,PA,2020,6.048014773776508,7.207404064394278
42,PA,2021,7.597756779595874,4.7881434952736805
42,PA,2022,7.454755487100458,4.986598114049608
42,PA,2023,6.587746944423065,4.967213967438388
42,PA,2024,6.760692932699665,4.978014714723998
44,RI,2010,5.8823529411764675,
44,RI,2011,8.159392789373811,
44,RI,2012,6.161137440758293,
44,RI,2013,4.734848484848484,
44,RI,2014,5.203405865657521,
44,RI,2015,4.162724692526017,
44,RI,2016,2.835538752362949,
44,RI,2017,2.7436140018921473,
44,RI,2018,3.8715769593956555,
44,RI,2019,2.3629489603024574,2.813360773921938
44,RI,2020,2.4635036496350358,2.6943431216391884
44,RI,2021,1.6408386508659967,1.688908172418312
44,RI,2022,1.8214936247723124,1.8253306504603284
44,RI,2023,2.8156221616712074,1.9263715390612477
44,RI,2024,2.0720720720720713,1.7460571598072117
45,SC,2010,2.7178602243313157,
45,SC,2011,2.9317355018189564,
45,SC,2012,2.9243483788938294,
45,SC,2013,3.0214015946286192,
45,SC,2014,2.631033768386155,
45,SC,2015,2.879901960784308,
45,SC,2016,1.0276042716099116,
45,SC,2017,0.3182812810821556,
45,SC,2018,0.5106048703849162,
45,SC,2019,0.8530438154323366,0.7430217311277594
45,SC,2020,0.5455962587685103,0.919665627677237
45,SC,2021,0.712360415864458,0.702534729966263
45,SC,2022,0.6050293061070144,0.5922831007637315
45,SC,2023,0.5564830272676681,0.6695994693343021
45,SC,2024,1.5118397085610176,0.5630174988934062
46,SD,2010,22.916666666666664,
46,SD,2011,18.56796116504854,
46,SD,2012,17.62589928057554,
46,SD,2013,19.09845788849347,
46,SD,2014,15.294117647058822,
46,SD,2015,16.02339181286549,
46,SD,2016,12.384259259259258,
46,SD,2017,12.814645308924483,
46,SD,2018,8.191126279863479,
46,SD,2019,9.019165727170234,8.132579253997765
46,SD,2020,6.981981981981981,7.662518795379334
46,SD,2021,4.0178571428571415,7.057160448703278
46,SD,2022,2.75027502750275,5.807657740452338
46,SD,2023,2.178649237472766,4.889623465069309
46,SD,2024,4.099244875943903,4.376398280622292
47,TN,2010,0.9439899307740679,
47,TN,2011,1.5,
47,TN,2012,0.9448574969021056,
47,TN,2013,0.677235647221792,
47,TN,2014,1.115355233002289,
47,TN,2015,1.2888551933282764,
47,TN,2016,1.262967974740638,
47,TN,2017,1.3849590469099002,
47,TN,2018,1.091767483033342,
47,TN,2019,0.8491947291361628,1.1807076773909717
47,TN,2020,0.6062355658198602,0.8955886339657804
47,TN,2021,0.602841969283765,0.6130315558123256
47,TN,2022,1.2742460710746124,0.689437470134753
47,TN,2023,0.908709632322102,0.9670788777606178
47,TN,2024,0.8688456764584191,0.8374996803861301
48,TX,2010,6.608034228666483,
48,TX,2011,6.047726741012227,
48,TX,2012,7.004293819966218,
48,TX,2013,6.55966767371599,
48,TX,2014,6.5163372028334745,
48,TX,2015,7.634060213331348,
48,TX,2016,7.021566239163108,
48,TX,2017,6.369516807465253,
48,TX,2018,5.848034934497785,
48,TX,2019,5.312726394590646,5.787769778845691
48,TX,2020,4.329981530884447,5.52148072813491
48,TX,2021,4.568356270922776,3.828973074077914
48,TX,2022,4.552095092635612,3.6906825536270067
48,TX,2023,4.642078192649478,4.170484270962385
48,TX,2024,8.818927807401211,4.124385225148274
49,UT,2010,5.4414414414414365,
49,UT,2011,5.150976909413845,
49,UT,2012,4.9754730203223545,
49,UT,2013,7.0369092790617405,
49,UT,2014,4.560925799863852,
49,UT,2015,5.16085790884718,
49,UT,2016,10.775295663600525,
49,UT,2017,8.408505154639169,
49,UT,2018,6.497622820919172,
49,UT,2019,6.5563534186699925,7.776901889881159
49,UT,2020,3.3495736906211913,8.642048705415332
49,UT,2021,1.5568862275449082,5.145667077250274
49,UT,2022,1.2374779021803168,4.278331259516465
49,UT,2023,4.2041171354015585,3.731200103025641
